课程标题,视频链接,讲师,适用岗位,时长,更新日期
新员工入职培训,https://video.example.com/onboarding,王芳,全部,45分钟,2026-09-01
销售话术进阶,https://video.example.com/sales-201,陈伟,销售,60分钟,2026-09-05
客服沟通技巧,https://video.example.com/cs-101,赵敏,客服、销售,30分钟,2026-09-08
Python 数据分析入门,https://video.example.com/py-da,李强,技术,90分钟,2026/09/10
安全生产规范,,刘洋,全部,25分钟,2026-09-02
团队管理艺术,https://video.example.com/mgmt,,运营,50分钟,2026-09-06
,https://video.example.com/no-title,孙丽,运营,20分钟,2026-09-07
财务报表解读,https://video.example.com/finance,周洁,财务,40分钟,2026-09-11
产品发布会复盘,https://video.example.com/launch,吴磊,运营,35分钟,2026-13-01
职场礼仪,not-a-valid-url,郑爽,全部,15分钟,2026-09-12
